Timestamp (us),X (a.u.),Y (a.u.),Z (a.u.)
3330996712,-0.528189,0.219045,-0.875816
3331045452,-0.610480,0.230823,-0.822983
3331094194,-0.657099,0.214260,-0.748089
3331142937,-0.721011,0.234424,-0.673237
3331191680,-0.748293,0.253377,-0.619654
3331240424,-0.794135,0.263910,-0.555510
3331289168,-0.822768,0.228667,-0.501815
3331337907,-0.860212,0.211811,-0.437704
3331386645,-0.851983,0.166385,-0.480829
3331435390,-0.843776,0.120939,-0.513011
3331484126,-0.807920,0.074601,-0.588061
3331532862,-0.772398,0.019231,-0.652463
3331581596,-0.745334,-0.017767,-0.738262
3331630339,-0.699877,-0.037342,-0.780866
3331679076,-0.654247,-0.056907,-0.844871
3331727807,-0.580043,-0.032235,-0.919570
3331776548,-0.515867,-0.034365,-0.961951
3331825283,-0.451224,-0.018436,-1.004309
3331874015,-0.433265,-0.028090,-0.993187
3331922753,-0.499787,-0.125268,-0.983243
3331971487,-0.509220,-0.133995,-0.972586
3332020229,-0.499758,-0.116257,-0.950769
3332068966,-0.499936,-0.125279,-0.961705
3332117700,-0.500095,-0.134303,-0.972486
3332166435,-0.481518,-0.125884,-0.982882
3332215173,-0.489184,-0.071392,-0.993845
3332263904,-0.489296,-0.071394,-0.983398
3332312645,-0.489277,-0.071396,-0.983237
3332361383,-0.480442,-0.080741,-0.972218
3332410120,-0.480368,-0.080735,-0.982987
3332458857,-0.498767,-0.080132,-0.961649
3332507591,-0.489427,-0.071408,-0.961695
3332556322,-0.489586,-0.080431,-0.972477
3332605062,-0.489642,-0.080439,-0.961549
3332653793,-0.489493,-0.080427,-0.983087
3332702524,-0.489259,-0.071398,-0.983076
3332751263,-0.489511,-0.080425,-0.983248
3332799995,-0.489801,-0.089463,-0.972329
3332848724,-0.498618,-0.080120,-0.983187
3332897453,-0.489418,-0.080421,-0.993856
3332946183,-0.489642,-0.080439,-0.961549
3332994913,-0.498515,-0.071090,-0.972885
3333043642,-0.480442,-0.080741,-0.972218
3333092380,-0.489801,-0.089463,-0.972329
3333141117,-0.498599,-0.080122,-0.983026
3333189854,-0.499001,-0.089161,-0.961660
3333238588,-0.498767,-0.080132,-0.961649
3333287331,-0.489894,-0.089467,-0.961718
3333336071,-0.498636,-0.080118,-0.983348
3333384810,-0.498926,-0.089155,-0.972429
3333433548,-0.499020,-0.089159,-0.961818
3333482287,-0.498945,-0.089153,-0.972589
3333531025,-0.489586,-0.080431,-0.972477
3333579764,-0.489493,-0.080427,-0.983087
3333628499,-0.489876,-0.089469,-0.961560
3333677242,-0.499123,-0.098176,-0.983532
3333725984,-0.489633,-0.089453,-0.993705
3333774724,-0.499020,-0.089159,-0.961818
3333823456,-0.498618,-0.080120,-0.983187
3333872188,-0.498945,-0.089153,-0.972589
3333920920,-0.498692,-0.080126,-0.972418
3333969650,-0.498851,-0.089149,-0.983198
3334018379,-0.489511,-0.080425,-0.983248
3334067111,-0.498674,-0.080128,-0.972259
3334115844,-0.489118,-0.062372,-0.972455
