Timestamp (us),X (a.u.),Y (a.u.),Z (a.u.)
3323247495,-0.513559,0.064981,-0.941214
3323296237,-0.513372,0.064983,-0.962459
3323344983,-0.522611,0.065295,-0.952095
3323393710,-0.513391,0.064988,-0.962617
3323442441,-0.522358,0.074320,-0.951927
3323491174,-0.522208,0.074332,-0.973485
3323539909,-0.504283,0.064685,-0.962675
3323588646,-0.522189,0.074327,-0.973325
3323637375,-0.513502,0.064966,-0.940750
3323686102,-0.522573,0.065284,-0.951782
3323734829,-0.513447,0.064977,-0.951682
3323783555,-0.504395,0.064663,-0.940805
3323832279,-0.504087,0.073700,-0.951570
3323881011,-0.522536,0.065301,-0.962875
3323929741,-0.513297,0.064989,-0.973236
3323978471,-0.513466,0.064982,-0.951838
3324027201,-0.513232,0.074013,-0.951827
3324075930,-0.513447,0.064977,-0.951682
3324124657,-0.522208,0.074332,-0.973485
3324173387,-0.513157,0.074019,-0.962606
3324222114,-0.504395,0.064663,-0.940805
3324270846,-0.513316,0.064994,-0.973396
3324319582,-0.504077,0.064682,-0.983752
3324368312,-0.513372,0.064983,-0.962459
3324417046,-0.522423,0.065296,-0.973336
3324465781,-0.514167,0.037890,-0.951872
3324514511,-0.514242,0.037884,-0.941093
3324563238,-0.523592,0.020144,-0.973393
3324611966,-0.514326,0.028865,-0.962662
3324660692,-0.514485,0.019840,-0.973452
3324709418,-0.523667,0.020138,-0.962615
3324758149,-0.524387,-0.006951,-0.962807
3324806878,-0.597708,0.004504,-0.888295
3324855606,-0.715407,0.080665,-0.749112
3324904342,-0.882770,0.040912,-0.481719
3324953076,-0.967321,0.025465,-0.202357
3325001821,-1.006356,-0.000536,0.055928
3325050562,-0.979307,0.025533,0.217939
3325099305,-0.971741,0.007071,0.379632
3325148040,-0.935389,0.032870,0.498656
3325196775,-0.890377,0.040301,0.617793
3325245503,-0.835760,0.047455,0.672300
3325294235,-0.816965,0.064907,0.661744
3325342968,-0.852993,0.075203,0.618392
3325391694,-0.897221,0.076839,0.423722
3325440421,-0.969554,0.052311,0.228850
3325489149,-0.996719,-0.000815,-0.008630
3325537875,-0.995505,-0.027750,-0.288968
3325586609,-0.930872,-0.047860,-0.471723
3325635344,-0.838305,-0.050839,-0.653927
3325684082,-0.754333,-0.017429,-0.771191
3325732813,-0.663357,-0.056572,-0.867371
3325781551,-0.608034,-0.049353,-0.920955
3325830288,-0.551448,0.012022,-0.941528
3325879025,-0.523845,0.011117,-0.973564
3325927761,-0.523602,0.029161,-0.941205
3325976501,-0.560386,0.030363,-0.898343
3326025237,-0.698272,0.034907,-0.759873
3326073981,-0.846071,0.030671,-0.535042
3326122716,-0.947778,0.042977,-0.320717
3326171453,-0.994823,0.053416,-0.084041
3326220190,-0.995672,0.071366,0.110025
3326268926,-0.968834,0.097428,0.293569
3326317660,-0.914669,0.131591,0.509818
3326366394,-0.796797,0.154557,0.726637
3326415131,-0.715128,0.160771,0.824651
3326463867,-0.652297,0.131489,0.879098
3326512601,-0.679375,0.132436,0.835689
3326561346,-0.769857,0.117559,0.651534
3326610084,-0.906197,0.077158,0.402064
3326658824,-0.997830,-0.018933,0.088357
3326707563,-1.006804,-0.072672,-0.149018
3326756302,-0.969583,-0.091879,-0.310245
3326805048,-0.913366,-0.084602,-0.482005
3326853793,-0.828967,-0.042127,-0.642813
3326902529,-0.745330,-0.017736,-0.760570
3326951267,-0.670847,0.006951,-0.867393
3327000008,-0.616173,-0.003915,-0.888359
3327048751,-0.580091,-0.032211,-0.931260
3327097497,-0.525303,-0.043076,-0.962694
3327146239,-0.507136,-0.052711,-0.984059
3327194984,-0.498842,-0.080124,-0.962280
3327243722,-0.489735,-0.080430,-0.962338
3327292465,-0.498552,-0.071085,-0.973204
3327341207,-0.508118,-0.079814,-0.952231
3327389950,-0.554225,-0.087336,-0.909166
3327438689,-0.655465,-0.093027,-0.824201
3327487427,-0.738398,-0.090313,-0.717560
3327536172,-0.793421,-0.079491,-0.631460
3327584915,-0.830016,-0.069251,-0.588851
3327633656,-0.810546,-0.024705,-0.599475
3327682395,-0.827880,0.021051,-0.567382
3327731131,-0.817458,0.065894,-0.577804
3327779866,-0.807397,0.101708,-0.577659
3327828603,-0.761084,0.109236,-0.641809
3327877339,-0.723738,0.126096,-0.695271
3327926077,-0.677116,0.142660,-0.770187
3327974811,-0.650078,0.123694,-0.791595
3328023551,-0.614635,0.068291,-0.834098
3328072292,-0.597648,0.022522,-0.823316
3328121031,-0.615834,0.014131,-0.866636
3328169771,-0.597507,0.013521,-0.877212
3328218512,-0.522891,0.065266,-0.908824
3328267249,-0.550155,0.066185,-0.919600
3328315990,-0.523041,0.065254,-0.887266
3328364727,-0.549921,0.075215,-0.919589
3328413464,-0.531745,0.074594,-0.908613
3328462196,-0.549857,0.084239,-0.898175
3328510925,-0.558103,0.120657,-0.887307
3328559656,-0.612935,0.140529,-0.812593
3328608389,-0.668361,0.124290,-0.780755
3328657119,-0.723037,0.153187,-0.695237
3328705847,-0.768573,0.172757,-0.641831
3328754580,-0.814802,0.174249,-0.556115
3328803309,-0.824285,0.165507,-0.534578
3328852046,-0.843097,0.157075,-0.491776
3328900782,-0.834703,0.120644,-0.513093
3328949519,-0.798420,0.101389,-0.556005
3328998255,-0.789446,0.074025,-0.631269
3329046993,-0.744487,0.027381,-0.706372
3329095736,-0.689568,0.016529,-0.759540
3329144482,-0.634778,-0.003332,-0.834528
3329193224,-0.606612,0.013825,-0.877167
3329241962,-0.578861,0.012932,-0.930744
3329290702,-0.506172,-0.007579,-0.951515
3329339435,-0.460160,-0.000076,-0.972553
3329388169,-0.423591,-0.010313,-1.015266
3329436906,-0.452988,-0.081645,-0.994105
3329485643,-0.471932,-0.099108,-0.962002
3329534384,-0.499702,-0.116239,-0.973101
3329583134,-0.490661,-0.125566,-0.994563
3329631876,-0.490577,-0.116547,-0.973001
3329680622,-0.499992,-0.125277,-0.962179
3329729365,-0.489941,-0.098476,-0.994366
3329778111,-0.507322,-0.052733,-0.951415
3329826850,-0.616919,-0.022003,-0.845127
3329875593,-0.699320,-0.010248,-0.770449
3329924336,-0.781464,0.028562,-0.631117
3329973077,-0.817666,0.056858,-0.577715
3330021818,-0.835356,0.093565,-0.523993
3330070562,-0.834151,0.147723,-0.491511
3330119308,-0.832999,0.201894,-0.459205
3330168057,-0.813338,0.237427,-0.523520
3330216804,-0.784885,0.263624,-0.577055
3330265546,-0.766076,0.272088,-0.630930
3330314295,-0.720333,0.261523,-0.673318
3330363043,-0.692680,0.260633,-0.716234
3330411783,-0.637825,0.240750,-0.790818
3330460525,-0.601959,0.203423,-0.833552
3330509270,-0.575101,0.175443,-0.865889
3330558014,-0.557168,0.156778,-0.887262
3330606755,-0.521300,0.119450,-0.930007
3330655500,-0.511295,0.155250,-0.918935
3330704246,-0.493259,0.145598,-0.918594
3330752996,-0.502076,0.154941,-0.929455
3330801746,-0.501917,0.163965,-0.918672
3330850490,-0.510902,0.173305,-0.908139
3330899226,-0.510649,0.182327,-0.907977
3330947971,-0.500449,0.227172,-0.897197
