Timestamp (us),Percentage (%),Voltage (V),Charging Status
3323589420,74.156090,3.741561,1.000000
3324589957,74.166153,3.741662,1.000000
3325590498,74.206436,3.742064,1.000000
3326591036,74.216522,3.742165,1.000000
3327591573,74.202415,3.742024,1.000000
3328592111,74.170189,3.741702,1.000000
3329592648,74.156090,3.741561,1.000000
3330593186,74.180267,3.741803,1.000000
3331593724,74.172203,3.741722,1.000000
3332594263,74.180260,3.741803,1.000000
3333594820,74.240685,3.742407,1.000000
