Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
3323234609,0.086175,-0.005043,-0.002344,-0.035891,0.034798,0.996875
3323254667,-0.081494,-0.127185,-0.033240,-0.033270,0.035626,0.998100
3323274726,-0.172914,-0.050668,-0.062972,-0.033696,0.034881,0.996368
3323294783,0.040947,0.034274,-0.123700,-0.033510,0.033970,0.996108
3323314841,-0.104178,0.055224,0.082803,-0.032717,0.034712,0.997665
3323334899,0.056468,-0.057814,-0.063234,-0.034536,0.035894,0.997526
3323354959,0.239509,-0.148198,-0.117305,-0.035966,0.033606,0.995883
3323375017,0.116471,0.049174,0.006298,-0.033459,0.035085,0.998468
3323395078,0.108569,0.064394,-0.016400,-0.034361,0.035990,0.997985
3323415133,-0.021059,-0.034917,-0.062433,-0.034309,0.033558,1.000202
3323435190,-0.120175,-0.043058,-0.016429,-0.031624,0.035257,0.997679
3323455248,0.101201,-0.126411,0.028412,-0.034485,0.033373,0.999836
3323475307,0.039824,0.018268,0.059807,-0.035539,0.035078,0.997608
3323495365,0.176981,0.003927,-0.024462,-0.035926,0.036274,0.998956
3323515423,-0.037041,-0.088951,0.104921,-0.032531,0.034892,0.997484
3323535481,0.100419,0.088244,-0.077390,-0.033505,0.035694,0.995815
3323555541,0.107659,0.065012,-0.062100,-0.034605,0.035881,0.996248
3323575598,0.206750,-0.011068,-0.070189,-0.033885,0.034158,0.996737
3323595657,0.031050,-0.148615,-0.070589,-0.032738,0.036634,0.998920
3323615715,-0.060862,0.002798,0.075499,-0.033800,0.034980,0.997094
3323635772,0.053595,0.080123,-0.031142,-0.033004,0.037449,0.998541
3323655830,0.038318,-0.035068,0.052069,-0.032668,0.036193,1.000203
3323675888,-0.091357,-0.057847,0.006366,-0.032899,0.037713,0.997719
3323695946,0.129830,0.034320,0.021736,-0.033815,0.035717,0.997998
3323716004,0.000134,-0.072583,-0.016863,-0.033592,0.034327,0.995555
3323736062,-0.106943,0.109763,0.045468,-0.034019,0.036548,0.999262
3323756122,0.038408,0.041696,-0.016216,-0.035083,0.036441,0.997601
3323776180,0.038162,0.026180,0.014127,-0.033801,0.035617,0.997178
3323796238,0.046021,-0.049581,-0.062620,-0.035098,0.034813,0.998440
3323816297,0.152409,0.065070,-0.046649,-0.033718,0.035985,0.997632
3323836353,-0.023304,0.025834,0.022108,-0.033106,0.034364,0.999121
3323856412,0.014737,0.017753,0.082887,-0.032444,0.035804,0.997749
3323876470,-0.038556,0.034086,-0.084724,-0.033612,0.034249,0.996741
3323896528,-0.015612,0.040594,0.067835,-0.033791,0.036429,0.996622
3323916586,-0.114673,0.025200,0.037374,-0.034000,0.037082,0.998162
3323936645,-0.038233,-0.028462,0.089983,-0.033732,0.035721,0.998456
3323956704,-0.137193,0.017691,0.006504,-0.033241,0.035245,0.996372
3323976762,-0.182635,-0.036687,0.135785,-0.036088,0.033806,0.997703
3323996820,-0.197402,-0.005683,0.067022,-0.033848,0.034373,0.999928
3324016877,-0.059402,-0.027306,-0.055445,-0.035351,0.035255,0.997245
3324036935,0.054893,0.041925,-0.093140,-0.033163,0.034434,0.997112
