Timestamp (us),X (g),Y (g),Z (g)
3326504268,0.696476,0.186692,-1.256838
3326525715,0.642802,0.190396,-1.109795
3326547165,0.589366,0.289686,-0.914714
3326568616,0.430550,0.201046,-0.719496
3326590066,0.321743,0.114954,-0.374515
3326611516,0.213309,-0.067765,-0.127041
3326632967,0.156023,0.086091,0.413600
3326654418,0.254633,0.141585,0.860814
3326675868,0.509191,0.242615,1.311395
3326697318,0.613723,0.336001,1.312687
3326718769,0.567989,0.326159,0.816651
3326740219,0.366121,0.319093,0.366002
3326761671,0.152969,0.091301,0.660937
3326783121,0.197853,0.006601,1.158402
3326804571,0.149118,0.145867,1.006496
3326826021,0.208392,0.420581,0.607831
3326847470,-0.055194,0.142970,0.753718
3326868920,0.038613,-0.129310,1.354334
3326890369,-0.063237,-0.131280,1.203211
3326911819,-0.112398,-0.039285,1.052020
3326933267,-0.164850,-0.037665,1.100127
3326954716,-0.008849,0.151771,1.200286
3326976166,-0.059894,0.102993,1.100705
3326997616,-0.109716,0.052132,0.902188
3327019067,-0.108681,0.098361,0.852007
3327040516,-0.003963,0.143434,0.804545
3327061965,-0.056788,0.241682,0.950159
3327083414,-0.057212,0.194410,0.950874
3327104862,-0.111124,0.102530,1.049877
3327126311,-0.064407,0.014703,1.398938
3327147759,-0.218047,0.157210,1.343248
3327169207,-0.161320,0.148295,0.948867
3327190656,-0.108257,0.145633,0.851293
3327212104,-0.108867,0.146675,0.900760
3327233553,-0.160709,0.147253,0.899400
3327255002,-0.161320,0.148295,0.948867
3327276452,-0.162727,0.198693,1.096556
3327297901,-0.216826,0.155126,1.244313
3327319350,-0.269278,0.156746,1.292420
3327340799,-0.217012,0.203440,1.293066
3327362248,-0.215977,0.249669,1.242884
3327383696,-0.061250,0.297290,1.345186
3327405146,-0.062047,0.346645,1.443407
3327426595,-0.005930,0.338773,1.098494
3327448043,0.151053,0.430539,1.051679
3327469493,0.151240,0.382225,1.002925
3327490942,0.205152,0.474106,0.903922
3327512391,0.154904,0.375972,0.706120
3327533841,0.154666,0.280387,0.658081
3327555289,0.206321,0.328123,0.708194
3327576737,0.314942,0.462528,0.411967
3327598186,0.210224,0.417455,0.459428
3327619636,0.260844,0.418961,0.559723
3327641086,0.260419,0.371690,0.560438
3327662536,0.210410,0.369142,0.410675
3327683987,0.209137,0.227327,0.412817
3327705436,0.155650,0.182718,0.511106
3327726886,0.103995,0.134983,0.460993
3327748336,0.157244,0.084007,0.314665
3327769785,0.104978,0.037314,0.314019
3327791234,0.049607,-0.148068,0.463918
3327812681,0.049183,-0.195339,0.464632
3327834129,-0.000640,-0.246201,0.266116
3327855579,-0.054925,-0.241454,0.462626
3327877028,-0.106714,-0.096977,0.558058
3327898479,-0.108598,-0.237750,0.609668
3327919929,-0.214962,-0.328010,0.756779
3327941379,-0.165564,-0.324420,0.956009
3327962828,-0.059335,-0.041947,0.954445
3327984278,-0.161320,0.148295,0.948867
3328005728,-0.214434,0.007059,0.949650
3328027177,-0.114841,-0.035117,1.249890
3328048649,-0.062575,0.011577,1.250536
3328070073,-0.110224,0.340971,1.145241
3328091520,-0.007576,0.293585,1.198143
3328112968,0.043416,0.198464,1.200932
3328134415,-0.059045,0.197536,1.099276
3328155863,-0.007017,0.148644,1.051883
3328177311,0.234156,0.416499,2.687543
3328198757,-0.011582,-0.083545,1.253324
3328220204,-0.212975,0.100560,0.898754
3328241654,-0.108681,0.098361,0.852007
3328263101,-0.161558,0.052710,0.900828
3328284550,-0.109106,0.051090,0.852721
3328305999,-0.109292,0.099403,0.901474
3328327448,-0.109292,0.099403,0.901474
3328348896,-0.108681,0.098361,0.852007
3328370343,-0.109292,0.099403,0.901474
3328391790,-0.109478,0.147717,0.950228
3328413238,-0.109292,0.099403,0.901474
3328434685,-0.109903,0.100445,0.950942
3328456134,-0.215418,0.104728,1.096624
3328477585,-0.011903,0.156981,1.447624
3328499035,-0.014160,0.112836,1.596741
3328520485,-0.064594,0.063016,1.447692
3328541935,-0.116062,-0.033032,1.348825
3328563384,-0.016148,-0.315734,1.454766
3328584836,0.035083,-0.315270,1.505593
3328606287,-0.060981,-0.087135,1.054094
3328627739,-0.058724,-0.042990,0.904977
3328649189,-0.007731,-0.138111,0.907766
3328670636,-0.006085,-0.092924,0.808116
3328692085,0.047402,-0.048314,0.709827
3328713533,0.049048,-0.003127,0.610178
3328734982,0.152306,-0.051555,0.613612
3328756431,0.202502,-0.097321,0.714622
3328777881,0.151695,-0.050513,0.663080
3328799331,0.204334,-0.100447,0.566219
3328820781,0.205742,-0.150845,0.418531
3328842231,0.154459,-0.295207,0.270911
3328863678,0.155308,-0.200664,0.269482
3328885126,0.155681,-0.297291,0.171975
3328906575,0.055052,-0.301345,-0.078083
3328928023,0.057361,-0.113301,-0.130407
3328949471,0.155360,-0.056766,0.366275
3328970920,0.154987,0.039862,0.463781
3328992371,0.006234,0.174032,0.012350
3329013820,-0.100317,0.132086,0.208214
3329035271,0.102028,0.330321,0.754942
3329056721,0.100434,0.429033,0.951383
3329078170,0.050849,0.473756,0.800906
3329099619,0.050849,0.473756,0.800906
3329121069,0.046946,0.384424,1.049673
3329142518,-0.059842,0.246892,1.197497
3329163966,0.096158,0.436327,1.297656
3329185415,0.098229,0.528786,1.197293
3329206864,0.096852,0.099174,1.005850
3329228313,-0.217488,0.012269,1.196988
3329249763,-0.112770,0.057342,1.149526
3329271212,-0.110275,0.197073,1.048449
3329292661,-0.161930,0.149337,0.998335
3329314109,-0.215418,0.104728,1.096624
3329335559,-0.214434,0.007059,0.949650
3329357010,-0.368737,0.006710,0.846634
3329378459,-0.370383,-0.038478,0.946283
3329399908,-0.169498,0.066257,1.543907
3329421357,-0.370145,0.057108,0.994323
3329442806,-0.214196,0.102644,0.997689
3329464255,-0.161320,0.148295,0.948867
3329485705,-0.161558,0.052710,0.900828
3329507153,-0.212975,0.100560,0.898754
3329528602,-0.109478,0.147717,0.950228
3329550050,-0.108867,0.146675,0.900760
3329571499,-0.108257,0.145633,0.851293
3329592948,-0.108257,0.145633,0.851293
3329614398,-0.161133,0.099982,0.900114
3329635849,-0.160709,0.147253,0.899400
3329657298,-0.160284,0.194525,0.898686
3329678747,-0.160522,0.098940,0.850647
3329700197,-0.214807,0.103686,1.047157
3329721644,-0.221153,0.018522,1.493793
3329743093,-0.118215,0.210620,1.691527
3329764544,-0.116569,0.255807,1.591878
3329785994,-0.114551,0.204367,1.394722
3329807442,-0.112108,0.200199,1.196851
3329828891,-0.007576,0.293585,1.198143
3329850340,-0.005744,0.290459,1.049741
3329871787,0.046895,0.240525,0.952880
3329893235,0.148082,0.099638,1.056678
3329914683,0.099347,0.238905,0.904773
3329936130,0.154242,0.233116,0.658795
3329957578,0.206880,0.183182,0.561934
3329979028,0.157720,0.275177,0.410743
3330000475,0.209137,0.227327,0.412817
3330021924,0.210545,0.176929,0.265129
3330043372,0.211767,0.174845,0.166194
3330064818,0.263794,0.125953,0.118801
3330086264,0.262148,0.080766,0.218450
3330107712,0.210680,-0.015283,0.119583
3330129159,0.157006,-0.011578,0.266625
3330150607,0.103519,-0.056187,0.364915
3330172054,0.049607,-0.148068,0.463918
3330193500,0.099989,-0.242147,0.516174
3330214948,0.046077,-0.334028,0.615177
3330236394,0.046077,-0.334028,0.615177
3330257841,0.048758,-0.242611,0.465346
3330279288,-0.055349,-0.288726,0.463340
3330300735,-0.059438,-0.329745,0.760859
3330322182,-0.006323,-0.188509,0.760077
3330343628,-0.054635,-0.001970,0.607458
3330365075,-0.159963,-0.046001,0.704386
3330386523,-0.063237,-0.131280,1.203211
3330407970,-0.009750,-0.086671,1.104922
3330429417,-0.057451,0.098825,0.902834
3330450864,-0.112584,0.009029,1.100773
3330472311,-0.064034,-0.081924,1.301432
3330493759,-0.111973,0.007987,1.051305
3330515207,-0.163576,0.104150,1.097984
3330536655,-0.217250,0.107855,1.245027
3330558101,-0.011106,0.107625,1.349403
3330579546,-0.162727,0.198693,1.096556
3330600995,-0.213772,0.149916,0.996975
3330622440,-0.070650,0.217336,2.039160
3330643888,-0.161930,0.149337,0.998335
3330665336,-0.161320,0.148295,0.948867
3330686785,-0.057026,0.146096,0.902120
3330708234,-0.109292,0.099403,0.901474
3330729682,-0.109292,0.099403,0.901474
3330751132,-0.160522,0.098940,0.850647
3330772580,-0.109292,0.099403,0.901474
3330794029,-0.110327,0.053174,0.951656
3330815473,-0.109106,0.051090,0.852721
