Timestamp (us),X (a.u.),Y (a.u.),Z (a.u.)
89273252900,-0.552772,0.137263,-0.917300
89273301726,-0.543385,0.145949,-0.927611
89273350556,-0.552932,0.128282,-0.927733
89273399380,-0.543313,0.145955,-0.938034
89273448208,-0.552341,0.146273,-0.948707
89273497034,-0.552467,0.146255,-0.927711
89273545853,-0.543171,0.154942,-0.927748
89273594676,-0.552216,0.155235,-0.927552
89273643498,-0.543313,0.145955,-0.938034
89273692323,-0.543098,0.154948,-0.938172
89273741145,-0.552234,0.155242,-0.927700
89273789969,-0.552162,0.155248,-0.938122
89273838789,-0.534376,0.145637,-0.917089
89273887608,-0.543171,0.154942,-0.927748
89273936438,-0.552303,0.146260,-0.948405
89273985261,-0.543152,0.154936,-0.927600
89274034081,-0.552341,0.146273,-0.948707
89274082908,-0.543240,0.145961,-0.948456
89274131739,-0.552394,0.146261,-0.938134
89274180561,-0.542847,0.163928,-0.938011
89274229390,-0.543152,0.154936,-0.927600
89274278219,-0.543152,0.154936,-0.927600
89274327041,-0.552253,0.155249,-0.927848
89274375866,-0.534089,0.154636,-0.927648
89274424696,-0.552253,0.155249,-0.927848
89274473526,-0.561315,0.155548,-0.927800
89274522357,-0.543045,0.154960,-0.948747
89274571183,-0.543243,0.154937,-0.917324
89274620004,-0.543422,0.145962,-0.927907
89274668829,-0.543476,0.145950,-0.917335
89274717658,-0.552539,0.146250,-0.917289
