Timestamp (us),Percentage (%),Voltage (V),Charging Status
89266592315,100.000000,4.141075,2.000000
89267592849,100.000000,4.141116,2.000000
89268593383,100.000000,4.141036,2.000000
89269593916,100.000000,4.140753,2.000000
89270594449,100.000000,4.140693,2.000000
89271594984,100.000000,4.140693,2.000000
89272595519,100.000000,4.140834,2.000000
89273596053,100.000000,4.140914,2.000000
89274596586,100.000000,4.141277,2.000000
