Timestamp (us),W,X,Y,Z
89266164365,-0.122571,-0.012204,-0.012678,0.992426
89266184421,-0.122560,-0.012222,-0.012633,0.992428
89266204477,-0.122578,-0.012204,-0.012686,0.992425
89266224535,-0.122577,-0.012202,-0.012664,0.992426
89266244592,-0.122530,-0.012199,-0.012686,0.992431
89266264648,-0.122476,-0.012209,-0.012665,0.992438
89266284717,-0.122474,-0.012178,-0.012718,0.992438
89266304760,-0.122500,-0.012161,-0.012679,0.992436
89266324817,-0.122547,-0.012145,-0.012711,0.992429
89266344873,-0.122579,-0.012128,-0.012716,0.992426
89266364929,-0.122626,-0.012138,-0.012749,0.992419
89266384986,-0.122647,-0.012132,-0.012726,0.992417
89266405044,-0.122663,-0.012123,-0.012730,0.992415
89266425100,-0.122705,-0.012139,-0.012685,0.992410
89266445157,-0.122719,-0.012124,-0.012693,0.992409
89266465212,-0.122728,-0.012136,-0.012677,0.992408
89266485269,-0.122621,-0.012110,-0.012675,0.992421
89266505324,-0.122532,-0.012106,-0.012694,0.992432
89266525381,-0.122476,-0.012105,-0.012680,0.992439
89266545438,-0.122430,-0.012100,-0.012708,0.992445
89266565495,-0.122377,-0.012083,-0.012734,0.992451
89266585552,-0.122323,-0.012084,-0.012750,0.992457
89266605608,-0.122267,-0.012079,-0.012734,0.992465
89266625663,-0.122273,-0.012084,-0.012747,0.992464
89266645720,-0.122317,-0.012081,-0.012719,0.992459
89266665776,-0.122310,-0.012061,-0.012743,0.992459
89266685833,-0.122197,-0.012203,-0.013213,0.992465
89266705890,-0.122038,-0.012178,-0.014716,0.992464
89266725946,-0.121585,-0.012885,-0.008097,0.992587
89266746004,-0.121749,-0.012114,-0.015562,0.992488
89266766060,-0.121596,-0.012263,-0.014139,0.992526
89266786116,-0.121470,-0.012424,-0.011496,0.992573
89266806171,-0.121424,-0.012128,-0.013347,0.992559
89266826228,-0.121341,-0.012221,-0.011707,0.992589
89266846284,-0.121316,-0.012069,-0.012913,0.992579
89266866341,-0.121177,-0.012072,-0.012235,0.992605
89266886397,-0.121066,-0.011942,-0.012646,0.992615
89266906456,-0.121022,-0.012001,-0.012509,0.992621
89266926512,-0.123449,-0.011451,-0.015654,0.992284
89266946568,-0.125608,-0.012185,-0.012139,0.992053
89266966623,-0.124045,-0.014399,-0.005335,0.992280
89266986680,-0.116389,-0.013657,-0.007186,0.993206
89267006736,-0.111959,-0.011944,-0.013273,0.993675
89267026792,-0.108200,-0.010745,-0.019804,0.993996
89267046849,-0.103427,-0.010954,-0.017601,0.994543
89267066906,-0.101881,-0.009781,-0.023272,0.994599
89267086963,-0.103937,-0.009411,-0.026330,0.994313
89267107019,-0.106989,-0.007459,-0.028401,0.993949
89267127076,-0.110336,-0.001235,-0.029008,0.993593
89267147131,-0.111104,0.002683,-0.029623,0.993486
89267167188,-0.113627,0.005121,-0.031089,0.993146
89267187244,-0.115113,0.011842,-0.033178,0.992850
89267207301,-0.120121,0.019676,-0.035976,0.992035
89267227357,-0.130296,0.026119,-0.037828,0.990532
89267247415,-0.145382,0.033615,-0.036332,0.988260
89267267472,-0.158482,0.047017,-0.031324,0.985868
89267287528,-0.167517,0.071274,-0.022814,0.983149
89267307583,-0.181767,0.101792,-0.015256,0.978064
89267327640,-0.193021,0.129497,-0.000261,0.972737
89267347696,-0.202958,0.153450,0.015629,0.967088
89267367752,-0.212212,0.173202,0.023850,0.961583
89267387809,-0.219128,0.193344,0.032346,0.955928
89267407865,-0.223300,0.218982,0.049246,0.948685
89267427923,-0.222949,0.248438,0.075841,0.939715
89267447980,-0.216164,0.278151,0.105048,0.930115
89267468036,-0.202918,0.308009,0.137056,0.919464
89267488091,-0.185635,0.339985,0.180934,0.904133
89267508147,-0.164797,0.376803,0.232014,0.881633
