Timestamp (us),X (g),Y (g),Z (g)
89266169230,-0.109292,0.099403,0.901474
89266190557,-0.057451,0.098825,0.902834
89266211883,-0.108495,0.050048,0.803253
89266233208,-0.109106,0.051090,0.852721
89266254534,-0.161558,0.052710,0.900828
89266275860,-0.057264,0.050511,0.854081
89266297186,-0.161558,0.052710,0.900828
89266318511,-0.109716,0.052132,0.902188
89266339836,-0.109716,0.052132,0.902188
89266361162,-0.109716,0.052132,0.902188
89266382487,-0.057451,0.098825,0.902834
89266403813,-0.057451,0.098825,0.902834
89266425138,-0.109716,0.052132,0.902188
89266446464,-0.107646,0.144591,0.801825
89266467788,-0.056840,0.097783,0.853367
89266489115,-0.056229,0.096741,0.803899
89266510442,-0.109530,0.003818,0.853435
89266531768,-0.109716,0.052132,0.902188
89266553094,-0.109716,0.052132,0.902188
89266574420,-0.056229,0.096741,0.803899
89266595746,-0.109292,0.099403,0.901474
89266617071,-0.109106,0.051090,0.852721
89266638396,-0.057451,0.098825,0.902834
89266659722,-0.057689,0.003240,0.854795
89266681046,-0.110141,0.004860,0.902903
89266702372,-0.057502,-0.045074,0.806042
89266723698,-0.058807,0.293121,1.147316
89266745022,-0.108919,0.002776,0.803968
89266766348,-0.057875,0.051553,0.903549
89266787673,-0.108919,0.002776,0.803968
89266808998,-0.108681,0.098361,0.852007
89266830322,-0.109716,0.052132,0.902188
89266851648,-0.057451,0.098825,0.902834
89266872972,-0.109106,0.051090,0.852721
89266894297,-0.109106,0.051090,0.852721
89266915622,-0.574166,0.293694,0.886376
89266936948,-0.571350,0.192899,0.590999
89266958273,-0.007121,-0.139153,0.858298
89266979599,0.200483,-0.045881,0.911778
89267000925,-0.004998,0.097205,0.854727
89267022251,-0.004626,0.000577,0.757220
89267043577,0.042702,-0.088291,1.056814
89267064904,0.101417,0.331363,0.804409
89267086229,-0.005185,0.145518,0.903480
89267107554,-0.215469,-0.039170,0.999832
89267128879,-0.110752,0.005902,0.952370
89267150203,0.095817,0.052945,1.056032
89267171528,0.347456,-0.033027,1.608405
89267192853,0.349578,0.203331,1.604834
89267214179,0.147202,0.485105,1.397237
89267235504,0.252956,0.576407,1.299594
89267256827,0.144656,0.201476,1.401523
89267278151,-0.064304,0.302500,1.592524
89267299475,0.039089,0.061860,1.450412
89267320800,-0.170636,-0.267770,1.400503
89267342125,-0.424771,-0.321528,0.949208
89267363451,-0.266617,-0.375745,0.706665
89267384776,-0.163545,-0.375860,0.758853
89267406102,-0.268077,-0.469246,0.757561
89267427428,-0.321802,-0.609440,0.807811
89267448753,-0.220563,-0.606429,1.008402
89267470080,-0.014129,-0.367174,1.257609
89267491407,0.041615,-0.278419,1.010203
89267512734,0.098871,0.047734,0.808694
89267534059,0.101365,0.187465,0.707617
89267555384,0.102401,0.233694,0.657435
89267576709,-0.100689,0.228713,0.305721
89267598034,-0.355010,0.223268,-0.096820
89267619358,-0.349886,0.310516,-0.444522
89267640683,-0.401965,0.215509,-0.493921
89267662009,-0.507956,0.028622,-0.444317
89267683334,-0.707754,0.114015,-0.995329
89267704660,-0.700321,0.389308,-1.395355
89267725987,-0.697029,0.479683,-1.594653
89267747312,-0.589258,0.519545,-1.889453
89267768638,-0.586815,0.515376,-2.087323
89267789963,-0.433972,0.422225,-1.933411
89267811288,-0.329440,0.515611,-1.932119
89267832612,-0.275528,0.607492,-2.031122
89267853936,-0.223449,0.702499,-1.981723
89267875261,-0.170148,0.795421,-2.031259
89267896586,-0.116423,0.935615,-2.081509
89267917910,-0.119901,0.893554,-1.833457
89267939235,-0.021104,0.900734,-1.434996
89267960560,-0.024821,0.763088,-1.234983
89267981884,-0.131371,0.721142,-1.039119
89268003208,-0.186080,0.678617,-0.841895
89268024533,0.015788,0.685682,-0.391246
