Timestamp (us),Temperature (degC)
5084847136,44.875000
5085850060,44.875000
5086852982,44.875000
5087855906,44.875000
5088858827,44.900002
5089861750,45.000000
5090864673,44.900002
5091867594,44.799999
5092870515,44.750000
5093873437,44.750000
5094876357,44.875000
5095879275,44.775002
5096882194,44.750000
