Timestamp (us),W,X,Y,Z
5084796988,0.071167,-0.023902,0.007787,0.997270
5084817047,0.071167,-0.023895,0.007810,0.997270
5084837107,0.071153,-0.023907,0.007807,0.997270
5084857165,0.071135,-0.023907,0.007865,0.997271
5084877224,0.071122,-0.023911,0.007857,0.997272
5084897282,0.071115,-0.023922,0.007847,0.997272
5084917339,0.071099,-0.023935,0.007889,0.997273
5084937398,0.071117,-0.023938,0.007906,0.997271
5084957456,0.071191,-0.023941,0.007921,0.997266
5084977515,0.071243,-0.023946,0.007911,0.997262
5084997573,0.071241,-0.023957,0.007957,0.997262
5085017632,0.071225,-0.023965,0.007940,0.997263
5085037692,0.071200,-0.023983,0.007960,0.997264
5085057750,0.071168,-0.023977,0.007927,0.997267
5085077808,0.071138,-0.023994,0.007923,0.997268
5085097867,0.071115,-0.023998,0.007942,0.997270
5085117924,0.071105,-0.023984,0.007937,0.997271
5085137982,0.071094,-0.023962,0.007913,0.997272
5085158041,0.071091,-0.023952,0.007929,0.997273
5085178100,0.071111,-0.023954,0.007929,0.997271
5085198158,0.071184,-0.023946,0.007925,0.997266
5085218216,0.071254,-0.023935,0.007911,0.997262
5085238276,0.071242,-0.023928,0.007908,0.997263
5085258334,0.071222,-0.023938,0.007910,0.997264
5085278393,0.071198,-0.023937,0.007909,0.997266
5085298451,0.071205,-0.023942,0.007888,0.997265
5085318508,0.071202,-0.023955,0.007902,0.997265
5085338567,0.071273,-0.023950,0.007867,0.997260
5085358625,0.071336,-0.023970,0.007852,0.997255
5085378684,0.071410,-0.023960,0.007846,0.997250
5085398742,0.071469,-0.023948,0.007873,0.997246
5085418801,0.071552,-0.023934,0.007863,0.997241
5085438861,0.071536,-0.023937,0.007867,0.997242
5085458919,0.071520,-0.023983,0.007876,0.997242
5085478978,0.071401,-0.024009,0.007886,0.997249
5085499036,0.071235,-0.024018,0.007895,0.997261
5085519093,0.071090,-0.023991,0.007899,0.997272
5085539152,0.071053,-0.023978,0.007918,0.997275
5085559210,0.071022,-0.023972,0.007922,0.997277
5085579268,0.070989,-0.023977,0.007928,0.997279
5085599327,0.070984,-0.023972,0.007911,0.997280
5085619387,0.070992,-0.023997,0.007901,0.997279
5085639446,0.071090,-0.024027,0.007898,0.997271
5085659504,0.071170,-0.024019,0.007876,0.997266
5085679562,0.071162,-0.024029,0.007859,0.997266
5085699619,0.071156,-0.024035,0.007847,0.997267
5085719678,0.071146,-0.024061,0.007886,0.997267
5085739736,0.071121,-0.024073,0.007881,0.997268
5085759795,0.071618,-0.024014,0.017343,0.997114
5085779853,0.071706,-0.024163,0.019780,0.997059
5085799912,0.071643,-0.024148,0.020591,0.997047
5085819972,0.071717,-0.024290,0.020785,0.997034
5085840030,0.071995,-0.024877,0.021695,0.996981
5085860089,0.072675,-0.025556,0.023643,0.996870
5085880147,0.074106,-0.025972,0.025617,0.996705
5085900204,0.075665,-0.026574,0.026952,0.996537
5085920263,0.075758,-0.026948,0.027769,0.996497
5085940321,0.075642,-0.026817,0.028834,0.996479
5085960379,0.075575,-0.026385,0.029679,0.996471
5085980438,0.075534,-0.025912,0.030322,0.996467
5086000496,0.075580,-0.025635,0.030282,0.996472
5086020556,0.075567,-0.025344,0.029608,0.996501
5086040614,0.074530,-0.025141,0.028823,0.996607
5086060673,0.072411,-0.025177,0.027466,0.996801
5086080732,0.068987,-0.025149,0.022789,0.997162
5086100789,0.065081,-0.026150,0.006016,0.997641
5086120847,0.062538,-0.027881,-0.023516,0.997498
5086140905,0.060174,-0.024653,-0.069600,0.995576
5086160964,0.058986,-0.014920,-0.111358,0.992039
5086181022,0.057064,-0.004796,-0.128730,0.990148
5086201081,0.057626,0.012302,-0.130467,0.989823
5086221141,0.053372,0.034870,-0.126302,0.990064
5086241199,0.055715,0.046995,-0.120949,0.990102
5086261257,0.057530,0.057766,-0.115085,0.990127
5086281316,0.058600,0.070155,-0.112282,0.989586
5086301373,0.059991,0.089466,-0.110459,0.988149
5086321432,0.059415,0.107846,-0.114715,0.985861
5086341490,0.057767,0.115810,-0.120346,0.984384
5086361549,0.055761,0.128540,-0.117239,0.983294
5086381608,0.049784,0.142276,-0.107833,0.982799
5086401666,0.040870,0.151391,-0.102057,0.982465
5086421725,0.032118,0.161940,-0.098120,0.981509
5086441784,0.026480,0.175962,-0.093965,0.979668
5086461843,0.020781,0.187383,-0.097113,0.977378
5086481901,0.012014,0.193101,-0.104943,0.975601
5086501958,-0.000565,0.195857,-0.103517,0.975278
5086522017,-0.011215,0.197447,-0.091544,0.976090
5086542075,-0.019544,0.194301,-0.075228,0.977982
5086562134,-0.027928,0.189315,-0.062612,0.979644
5086582192,-0.037292,0.183708,-0.054974,0.980858
5086602250,-0.045040,0.175946,-0.046477,0.982394
5086622310,-0.051508,0.165753,-0.040496,0.984112
5086642369,-0.057554,0.154132,-0.033288,0.985934
5086662427,-0.064914,0.142975,-0.015280,0.987600
5086682486,-0.072036,0.132359,0.000050,0.988704
5086702543,-0.077956,0.119784,0.005206,0.989844
5086722601,-0.083706,0.106538,0.006718,0.990879
5086742659,-0.088461,0.097891,0.002876,0.991376
5086762718,-0.092901,0.090363,-0.007438,0.991661
5086782777,-0.100297,0.081222,-0.016824,0.991617
5086802836,-0.106360,0.074397,-0.021208,0.991436
5086822895,-0.107423,0.066942,-0.023962,0.991790
5086842953,-0.107227,0.061380,-0.019216,0.992275
5086863012,-0.103144,0.054079,-0.009454,0.993273
5086883069,-0.098767,0.047345,-0.005733,0.994089
5086903127,-0.098551,0.036597,-0.008486,0.994545
5086923186,-0.099885,0.022871,-0.013317,0.994769
5086943244,-0.100931,0.015837,-0.015872,0.994763
5086963303,-0.103331,0.008612,-0.020176,0.994527
5086983361,-0.107208,-0.003082,-0.027929,0.993962
5087003421,-0.109191,-0.016089,-0.036147,0.993355
5087023479,-0.110236,-0.025450,-0.038242,0.992966
5087043538,-0.114285,-0.018455,-0.003281,0.993394
5087063596,-0.115827,-0.017711,-0.004046,0.993226
5087083653,-0.118019,-0.018075,-0.002209,0.992967
5087103712,-0.119966,-0.018572,-0.004162,0.992718
5087123770,-0.121432,-0.019041,-0.007361,0.992512
5087143829,-0.122455,-0.019329,-0.010240,0.992356
5087163887,-0.122865,-0.019909,-0.012864,0.992263
5087183946,-0.123670,-0.020266,-0.014984,0.992126
5087204006,-0.125111,-0.020012,-0.016401,0.991928
5087224064,-0.126735,-0.019653,-0.018802,0.991686
5087244122,-0.127639,-0.019015,-0.020373,0.991552
5087264181,-0.128105,-0.018191,-0.021783,0.991477
5087284238,-0.128167,-0.017909,-0.022840,0.991450
5087304296,-0.128309,-0.017781,-0.023047,0.991430
5087324355,-0.128441,-0.017659,-0.022900,0.991418
5087344414,-0.128537,-0.017458,-0.022845,0.991411
5087364472,-0.129306,-0.017286,-0.022665,0.991318
5087384530,-0.130274,-0.016923,-0.022569,0.991199
5087404590,-0.131174,-0.016362,-0.021895,0.991105
5087424649,-0.134405,-0.016086,-0.021450,0.990686
5087444707,-0.137373,-0.014791,-0.021557,0.990297
5087464765,-0.140566,-0.012721,-0.025701,0.989779
5087484823,-0.145235,-0.010581,-0.035026,0.988843
5087504881,-0.149001,-0.003164,-0.042612,0.988037
5087524940,-0.151996,0.007628,-0.048746,0.987272
5087544998,-0.155334,0.021378,-0.048135,0.986580
5087565057,-0.154783,0.036513,-0.037400,0.986688
5087585115,-0.152982,0.055405,-0.026287,0.986448
5087605175,-0.149675,0.072843,-0.019701,0.985975
5087625233,-0.146519,0.086158,-0.014368,0.985467
5087645292,-0.144254,0.097438,-0.006427,0.984834
5087665352,-0.141003,0.105740,-0.003594,0.984463
5087685407,-0.137000,0.117792,-0.004819,0.983654
5087705466,-0.132651,0.133301,0.000771,0.982282
5087725524,-0.126669,0.149164,0.016210,0.980656
5087745582,-0.119887,0.163989,0.036660,0.978588
