Timestamp (us),X (a.u.),Y (a.u.),Z (a.u.)
5087562795,-0.554759,0.283330,-0.813987
5087611507,-0.638489,0.240912,-0.761062
5087660220,-0.684979,0.224353,-0.707565
5087708932,-0.731445,0.207787,-0.653955
5087757648,-0.788382,0.146356,-0.579017
5087806358,-0.835824,0.102685,-0.493242
5087855073,-0.844618,0.112026,-0.504046
5087903789,-0.827145,0.075288,-0.525495
5087952500,-0.800428,0.029241,-0.600974
5088001217,-0.764037,0.000942,-0.676005
5088049931,-0.690962,-0.010527,-0.718539
5088098648,-0.682000,-0.028878,-0.761672
5088147367,-0.682468,-0.046946,-0.761695
5088196088,-0.673590,-0.074319,-0.826444
5088244812,-0.591370,-0.095115,-0.901182
5088293531,-0.534995,-0.051756,-0.965499
5088342253,-0.489778,-0.071367,-0.964702
5088390975,-0.499188,-0.089105,-0.997555
5088439698,-0.490564,-0.107489,-0.986349
5088488422,-0.490854,-0.116519,-0.986846
5088537146,-0.500180,-0.125247,-0.986634
5088585869,-0.491237,-0.125565,-0.965246
5088634596,-0.481978,-0.125870,-0.975470
5088683324,-0.500142,-0.125249,-0.986310
5088732050,-0.472831,-0.126179,-0.975210
5088780772,-0.519701,-0.151781,-0.900149
5088829498,-0.621877,-0.193605,-0.826126
5088878221,-0.694432,-0.155049,-0.750874
5088926945,-0.730855,-0.135781,-0.697256
5088975663,-0.747908,-0.080973,-0.676021
5089024378,-0.764780,-0.017152,-0.632714
5089073090,-0.753879,0.054806,-0.621832
5089121808,-0.761914,0.100276,-0.611075
5089170528,-0.752218,0.118034,-0.621645
5089219249,-0.733516,0.135492,-0.621530
5089267973,-0.705731,0.134592,-0.675119
5089316694,-0.676618,0.187884,-0.717826
5089365409,-0.658626,0.169228,-0.750168
5089414123,-0.621599,0.177061,-0.793086
5089462838,-0.603425,0.167424,-0.814499
5089511556,-0.576653,0.130383,-0.857305
5089560280,-0.550548,0.066261,-0.911230
5089609007,-0.515399,0.010843,-0.922002
5089657729,-0.479087,-0.008446,-0.953722
5089706448,-0.514247,0.055991,-0.910690
5089755166,-0.523292,0.065321,-0.889180
5089803889,-0.531391,0.101762,-0.899886
5089852611,-0.540250,0.111121,-0.911074
5089901334,-0.558583,0.111731,-0.900473
5089950053,-0.558872,0.102685,-0.889536
5089998777,-0.549529,0.111417,-0.889572
5090047514,-0.548807,0.138511,-0.889391
5090096241,-0.538743,0.174336,-0.889245
5090144967,-0.603562,0.158389,-0.825173
5090193692,-0.677820,0.133710,-0.750414
5090242413,-0.724147,0.126180,-0.686130
5090291134,-0.761346,0.118342,-0.621746
5090339860,-0.797902,0.128577,-0.578837
5090388578,-0.806603,0.155953,-0.535617
5090437300,-0.825164,0.156572,-0.503699
5090486018,-0.825504,0.138498,-0.514339
5090534741,-0.797994,0.137593,-0.535729
5090583458,-0.771302,0.091532,-0.600177
5090632179,-0.707761,0.053298,-0.686019
5090680899,-0.672530,-0.011134,-0.739819
5090729619,-0.636628,-0.048478,-0.782535
5090778334,-0.619284,-0.085229,-0.782248
5090827046,-0.620463,-0.139410,-0.814709
5090875760,-0.584116,-0.158684,-0.857522
5090924473,-0.565992,-0.177336,-0.911635
5090973187,-0.483167,-0.171044,-0.964250
5091021900,-0.474057,-0.171351,-0.964308
5091070613,-0.483260,-0.171050,-0.953610
5091119330,-0.473748,-0.162312,-0.975095
5091168049,-0.482718,-0.152977,-0.964386
5091216770,-0.482624,-0.152972,-0.975024
5091265493,-0.482718,-0.152977,-0.964386
5091314215,-0.492062,-0.161703,-0.964339
5091362942,-0.473711,-0.162313,-0.974774
5091411670,-0.464601,-0.162620,-0.974834
5091460401,-0.447139,-0.190341,-0.964029
5091509123,-0.483467,-0.171067,-0.921065
5091557851,-0.528697,-0.151469,-0.910597
5091606578,-0.555252,-0.105403,-0.867952
5091655308,-0.581523,-0.059322,-0.857256
5091704036,-0.598835,-0.013559,-0.825011
5091752765,-0.616712,0.014135,-0.782125
5091801491,-0.615233,0.068340,-0.792855
5091850219,-0.605403,0.095132,-0.792721
5091898940,-0.604755,0.122219,-0.781758
5091947663,-0.577901,0.094203,-0.802949
5091996386,-0.578210,0.085164,-0.792165
5092045114,-0.568952,0.084874,-0.813790
5092093838,-0.560814,0.048423,-0.802804
5092142561,-0.561152,0.030374,-0.824554
5092191293,-0.561375,0.012322,-0.856822
5092240017,-0.533896,0.011401,-0.867172
5092288743,-0.515957,-0.007268,-0.888580
5092337464,-0.507241,-0.025632,-0.899444
5092386186,-0.470821,-0.044899,-0.953039
5092434918,-0.434026,-0.046104,-0.995979
5092483644,-0.497046,0.010207,-0.921040
5092532371,-0.533596,0.011425,-0.910344
5092581104,-0.533306,0.020467,-0.921278
5092629834,-0.551629,0.030092,-0.878289
5092678561,-0.542585,0.020763,-0.899789
5092727286,-0.542181,0.029803,-0.921215
5092776015,-0.542529,0.020773,-0.910734
5092824745,-0.542474,0.020783,-0.921683
5092873474,-0.524815,0.002086,-0.899760
5092922206,-0.542744,0.011736,-0.910595
5092970941,-0.598271,0.004509,-0.835646
5093019679,-0.653067,0.024394,-0.771717
5093068413,-0.679772,0.061416,-0.728534
5093117147,-0.707456,0.062316,-0.685657
5093165881,-0.725260,0.090017,-0.653552
5093214609,-0.752278,0.108983,-0.632020
5093263336,-0.752845,0.090917,-0.621357
5093312066,-0.753547,0.063819,-0.621390
5093360791,-0.735483,0.045167,-0.664505
5093409521,-0.709070,-0.000917,-0.685619
5093458243,-0.690846,-0.010544,-0.717930
5093506966,-0.672907,-0.029213,-0.739341
5093555692,-0.673609,-0.056311,-0.739375
5093604418,-0.692777,-0.091828,-0.739496
5093653149,-0.693329,-0.118914,-0.761116
5093701880,-0.666369,-0.146911,-0.804155
5093750608,-0.620257,-0.148415,-0.868277
5093799341,-0.537152,-0.133077,-0.943214
5093848073,-0.482662,-0.152978,-0.963910
5093896807,-0.491715,-0.152665,-0.974804
5093945539,-0.491650,-0.143643,-0.953363
5093994270,-0.482335,-0.143940,-0.974532
5094043005,-0.482699,-0.152978,-0.964227
5094091734,-0.491473,-0.134617,-0.942402
5094140463,-0.500722,-0.143329,-0.964417
5094189189,-0.490696,-0.107514,-0.953161
5094237911,-0.490546,-0.107502,-0.974747
5094286634,-0.490678,-0.107515,-0.953004
5094335362,-0.490546,-0.107502,-0.974747
5094384083,-0.490658,-0.107505,-0.964271
5094432801,-0.490406,-0.098474,-0.964101
5094481512,-0.499693,-0.107193,-0.975008
5094530227,-0.490406,-0.098474,-0.964101
5094578947,-0.490546,-0.107502,-0.974747
5094627658,-0.490565,-0.107501,-0.974907
5094676370,-0.499824,-0.107206,-0.953262
5094725087,-0.499581,-0.107189,-0.985479
5094773806,-0.490528,-0.107503,-0.974587
5094822522,-0.490528,-0.107503,-0.974587
5094871241,-0.490256,-0.098462,-0.985691
5094919964,-0.499655,-0.107195,-0.974688
5094968688,-0.490312,-0.098469,-0.974736
5095017415,-0.490312,-0.098469,-0.974736
5095066143,-0.508756,-0.097863,-0.953664
5095114864,-0.490312,-0.098469,-0.974736
5095163588,-0.490565,-0.107501,-0.974907
5095212302,-0.499515,-0.098168,-0.964043
5095261017,-0.490387,-0.098475,-0.963943
5095309733,-0.481082,-0.089758,-0.952882
5095358446,-0.481166,-0.098779,-0.974476
5095407163,-0.499515,-0.098168,-0.964043
5095455878,-0.490387,-0.098475,-0.963943
5095504600,-0.490387,-0.098475,-0.963943
5095553318,-0.490621,-0.107508,-0.963954
5095602039,-0.490060,-0.089439,-0.974565
5095650748,-0.490294,-0.098471,-0.974576
5095699468,-0.490546,-0.107502,-0.974747
5095748185,-0.490219,-0.098465,-0.985367
5095796904,-0.490219,-0.098465,-0.985367
5095845626,-0.490471,-0.107496,-0.985540
5095894348,-0.490294,-0.098471,-0.974576
5095943063,-0.499459,-0.098160,-0.974996
5095991778,-0.490546,-0.107502,-0.974747
5096040497,-0.490275,-0.098472,-0.974416
5096089214,-0.499749,-0.107200,-0.964055
5096137932,-0.490481,-0.098480,-0.953307
5096186650,-0.481334,-0.098789,-0.953050
5096235367,-0.490368,-0.098465,-0.975216
5096284088,-0.490097,-0.089435,-0.974885
5096332806,-0.481325,-0.107805,-0.985278
5096381524,-0.481025,-0.089751,-0.963831
5096430240,-0.491023,-0.116551,-0.942535
5096478963,-0.481109,-0.098771,-0.985429
5096527678,-0.499534,-0.098166,-0.964202
5096576395,-0.490462,-0.098481,-0.953150
5096625112,-0.508877,-0.106892,-0.964155
5096673821,-0.490462,-0.098481,-0.953150
5096722527,-0.490621,-0.107508,-0.963954
5096771239,-0.490387,-0.098475,-0.963943
5096819950,-0.490387,-0.098475,-0.963943
5096868671,-0.490444,-0.098483,-0.952993
5096917392,-0.499338,-0.089143,-0.953082
5096966111,-0.499515,-0.098168,-0.964043
5097014826,-0.499749,-0.107200,-0.964055
5097063546,-0.499674,-0.107194,-0.974848
5097112262,-0.490715,-0.107512,-0.953318
5097160983,-0.499572,-0.098175,-0.953093
5097209710,-0.499730,-0.107201,-0.963896
5097258438,-0.490294,-0.098471,-0.974576
5097307159,-0.499422,-0.098163,-0.974676
5097355885,-0.508587,-0.097852,-0.975097
