Timestamp (us),X (a.u.),Y (a.u.),Z (a.u.)
5084834567,-0.499357,-0.089115,-0.976107
5084883278,-0.499432,-0.089108,-0.976749
5084931996,-0.508814,-0.097846,-0.965572
5084980716,-0.490227,-0.089423,-0.976007
5085029435,-0.508486,-0.088807,-0.976208
5085078149,-0.499357,-0.089115,-0.976107
5085126870,-0.490377,-0.089435,-0.954395
5085175587,-0.508739,-0.097840,-0.976379
5085224302,-0.508561,-0.088813,-0.965402
5085273026,-0.499507,-0.089127,-0.954495
5085321748,-0.499609,-0.098148,-0.976279
5085370464,-0.499665,-0.098155,-0.965313
5085419188,-0.499263,-0.089111,-0.986751
5085467909,-0.499039,-0.071059,-0.954473
5085516639,-0.508411,-0.088801,-0.987013
5085565351,-0.499357,-0.089115,-0.976107
5085614071,-0.499797,-0.098169,-0.943545
5085662794,-0.499488,-0.089129,-0.954338
5085711512,-0.499488,-0.089129,-0.954338
5085760235,-0.499572,-0.098151,-0.975958
5085808952,-0.500114,-0.116225,-0.965176
5085857675,-0.490863,-0.107502,-0.954575
5085906392,-0.500217,-0.125246,-0.986958
5085955108,-0.491415,-0.134593,-0.976224
5086003829,-0.482482,-0.143936,-0.975814
5086052550,-0.500816,-0.143326,-0.965210
5086101267,-0.490695,-0.107491,-0.976030
5086149985,-0.513948,0.056041,-0.965322
5086198704,-0.556613,0.193051,-0.890014
5086247430,-0.639623,0.177723,-0.836910
5086296151,-0.686755,0.143091,-0.761944
5086344871,-0.742118,0.135868,-0.708400
5086393592,-0.779246,0.128035,-0.654783
5086442317,-0.788609,0.146365,-0.557706
5086491045,-0.824784,0.165646,-0.536375
5086539770,-0.834117,0.165956,-0.515047
5086588489,-0.797738,0.146673,-0.557806
5086637210,-0.778760,0.164136,-0.589903
5086685932,-0.760978,0.136436,-0.622153
5086734651,-0.724168,0.126212,-0.697404
5086783372,-0.686255,0.170169,-0.729364
5086832089,-0.666896,0.196677,-0.783027
5086880805,-0.640219,0.159636,-0.815184
5086929526,-0.612573,0.158751,-0.858386
5086978243,-0.566574,0.166237,-0.868392
5087026959,-0.501470,0.200258,-0.911163
5087075673,-0.511965,0.146346,-0.911029
5087124389,-0.511965,0.146346,-0.911029
5087173104,-0.502387,0.164113,-0.911057
5087221821,-0.520451,0.173778,-0.911548
5087270536,-0.492649,0.190909,-0.900267
5087319244,-0.511049,0.182489,-0.911135
5087367949,-0.501704,0.191223,-0.911174
5087416660,-0.501742,0.191201,-0.900068
5087465370,-0.501312,0.209286,-0.900344
5087514083,-0.518644,0.255022,-0.856831
