Timestamp (us),X (g),Y (g),Z (g)
5084810489,-0.161133,0.099982,0.900114
5084831944,-0.108867,0.146675,0.900760
5084853398,-0.161133,0.099982,0.900114
5084874853,-0.057451,0.098825,0.902834
5084896308,-0.212364,0.099518,0.849286
5084917763,-0.160947,0.051668,0.851361
5084939217,-0.160522,0.098940,0.850647
5084960672,-0.161744,0.101024,0.949582
5084982126,-0.160947,0.051668,0.851361
5085003581,-0.161558,0.052710,0.900828
5085025035,-0.161558,0.052710,0.900828
5085046490,-0.160947,0.051668,0.851361
5085067946,-0.161133,0.099982,0.900114
5085089403,-0.057451,0.098825,0.902834
5085110859,-0.109106,0.051090,0.852721
5085132315,-0.161133,0.099982,0.900114
5085153771,-0.161744,0.101024,0.949582
5085175226,-0.161558,0.052710,0.900828
5085196680,-0.160522,0.098940,0.850647
5085218136,-0.108681,0.098361,0.852007
5085239592,-0.108257,0.145633,0.851293
5085261050,-0.109903,0.100445,0.950942
5085282507,-0.108867,0.146675,0.900760
5085303961,-0.160947,0.051668,0.851361
5085325416,-0.108681,0.098361,0.852007
5085346870,-0.213399,0.053288,0.899468
5085368325,-0.109292,0.099403,0.901474
5085389779,-0.160522,0.098940,0.850647
5085411234,-0.161133,0.099982,0.900114
5085432690,-0.160947,0.051668,0.851361
5085454143,-0.161133,0.099982,0.900114
5085475598,-0.160947,0.051668,0.851361
5085497052,-0.108681,0.098361,0.852007
5085518507,-0.108681,0.098361,0.852007
5085539962,-0.160522,0.098940,0.850647
5085561416,-0.160522,0.098940,0.850647
5085582871,-0.108681,0.098361,0.852007
5085604325,-0.108681,0.098361,0.852007
5085625780,-0.161558,0.052710,0.900828
5085647235,-0.212975,0.100560,0.898754
5085668691,-0.161133,0.099982,0.900114
5085690148,-0.109292,0.099403,0.901474
5085711606,-0.160947,0.051668,0.851361
5085733062,-0.212364,0.099518,0.849286
5085754519,-0.161879,0.293236,1.095128
5085775974,-0.161930,0.149337,0.998335
5085797428,-0.213585,0.101602,0.948221
5085818882,-0.212975,0.100560,0.898754
5085840336,-0.211939,0.146789,0.848572
5085861791,-0.055991,0.192326,0.851939
5085883246,-0.108681,0.098361,0.852007
5085904701,-0.213399,0.053288,0.899468
5085926156,-0.160709,0.147253,0.899400
5085947612,-0.161133,0.099982,0.900114
5085969068,-0.160522,0.098940,0.850647
5085990523,-0.212975,0.100560,0.898754
5086011980,-0.161133,0.099982,0.900114
5086033435,-0.109292,0.099403,0.901474
5086054891,-0.161133,0.099982,0.900114
5086076348,-0.058196,0.292079,1.097848
5086097802,-0.267683,0.058035,1.095978
5086119257,-0.168514,-0.031412,1.396932
5086140712,-0.170636,-0.267770,1.400503
5086162167,-0.061829,-0.181678,1.055522
5086183621,-0.168431,-0.367523,1.154594
5086205075,-0.058299,0.004282,0.904263
5086226530,-0.057875,0.051553,0.903549
5086247985,0.041719,0.009378,1.203789
5086269440,0.094409,0.103343,1.203720
5086290896,0.146488,0.198349,1.253120
5086312351,0.199737,0.147373,1.106792
5086333807,0.146436,0.054451,1.156327
5086355263,0.201197,0.240874,1.055896
5086376719,0.204675,0.282935,0.807844
5086398175,0.154853,0.232074,0.609327
5086419631,0.154615,0.136489,0.561288
5086441088,0.157534,0.323491,0.459496
