Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
5084796988,0.029069,0.060913,-0.087200,-0.047676,0.010807,0.987890
5084817047,0.134631,-0.015448,-0.049490,-0.048414,0.012344,1.004461
5084837107,-0.055354,0.029230,0.027416,-0.049682,0.013138,0.993391
5084857165,0.325467,0.045356,0.057302,-0.047897,0.012432,0.995530
5084877224,-0.003172,0.044475,0.019545,-0.047860,0.010737,0.998651
5084897282,-0.033625,0.036980,-0.018532,-0.049546,0.011439,0.996058
5084917339,0.187463,0.105659,0.042401,-0.048206,0.013817,0.997607
5084937398,0.088152,-0.024040,-0.019237,-0.050469,0.012538,0.996758
5084957456,0.125975,-0.000456,-0.095249,-0.049553,0.010716,0.996430
5084977515,-0.087942,0.021093,0.012159,-0.049018,0.012995,0.997145
5084997573,0.232422,0.044406,0.072675,-0.050030,0.013275,0.997761
5085017632,-0.057763,0.020300,0.103344,-0.049551,0.010896,0.996337
5085037692,0.048989,0.104616,0.072846,-0.049034,0.014369,0.998132
5085057750,-0.202691,-0.010346,0.026769,-0.047653,0.013086,0.997260
5085077808,0.011329,0.066499,0.026785,-0.049844,0.011091,0.997515
5085097867,0.072258,0.050954,0.072177,-0.048138,0.013650,0.998978
5085117924,-0.011592,-0.032773,-0.004538,-0.047181,0.011985,0.996278
5085137982,-0.148819,-0.071616,0.064136,-0.046763,0.013007,0.998464
5085158041,0.103103,-0.009686,0.063861,-0.047393,0.012094,0.998006
5085178100,-0.011692,0.051346,-0.004350,-0.047380,0.012813,0.997269
5085198158,-0.057088,-0.032014,-0.111461,-0.048374,0.013354,0.996788
5085218216,-0.102650,-0.024499,-0.095824,-0.047283,0.013264,0.996901
5085238276,0.034654,-0.055476,0.041157,-0.049226,0.010556,0.998627
5085258334,0.019287,0.013705,-0.019416,-0.050386,0.012088,0.997220
5085278393,-0.011229,0.005508,0.033917,-0.048296,0.012544,0.997528
5085298451,-0.056854,0.021431,-0.080297,-0.048874,0.010200,0.999368
5085318508,0.088038,0.013819,-0.026966,-0.051042,0.012100,0.998302
5085338567,-0.171368,-0.017329,-0.064805,-0.048034,0.011187,0.998187
5085358625,-0.132991,0.127121,0.027682,-0.048192,0.013082,0.996794
5085378684,0.027640,-0.032533,-0.019443,-0.047996,0.009982,0.995920
5085398742,0.050384,0.012895,0.057154,-0.046475,0.015543,0.997620
5085418801,-0.025846,-0.062665,-0.080557,-0.047918,0.011172,0.996729
5085438861,0.004535,0.051345,0.004087,-0.047732,0.012806,0.996532
5085458919,0.065320,0.165707,0.004686,-0.052303,0.011274,0.997467
5085478978,0.057650,0.096493,0.027227,-0.050771,0.012374,0.998487
5085499036,0.111064,0.012977,-0.026792,-0.050033,0.010913,0.997878
5085519093,0.057591,-0.132039,-0.035218,-0.048203,0.012361,0.997441
5085539152,0.118179,0.004932,0.064659,-0.046373,0.012173,0.996930
5085559210,0.064619,-0.048278,0.033878,-0.049301,0.011183,0.997707
5085579268,0.018554,0.004527,0.110277,-0.049734,0.012897,0.996403
5085599327,-0.095581,-0.063460,-0.027261,-0.049969,0.012293,0.999506
5085619387,-0.034727,0.065665,0.087688,-0.051289,0.011175,0.996757
5085639446,-0.072605,0.104986,-0.125568,-0.051192,0.013444,0.996460
5085659504,-0.095221,-0.010372,-0.026781,-0.047601,0.011109,0.999473
5085679562,-0.087517,0.095816,0.065283,-0.047444,0.011706,0.995638
5085699619,-0.056697,0.027520,-0.003927,-0.048828,0.011809,0.996705
5085719678,0.187250,0.104115,0.026638,-0.051117,0.012999,0.997379
5085739736,-0.141448,0.224570,0.096433,-0.043458,0.015731,0.980982
5085759795,53.078262,3.671073,-1.931090,-0.050618,0.009422,0.968147
5085779853,14.160840,1.988414,-0.856924,-0.044722,0.028276,1.007180
5085799912,4.256158,-0.011661,-0.416517,-0.061722,0.053604,1.037594
